Pkey,data2,data3,data4,data5,data6,data7,data8,data9,data10
1102,data2: 1102,data3: 1102,data4: 1102,data5: 1102,data6: 1102,data7: 1102,data8: 1102,data9: 1102,data10: 1102
1103,data2: 1103,data3: 1103,data4: 1103,data5: 1103,data6: 1103,data7: 1103,data8: 1103,data9: 1103,data10: 1103
1104,data2: 1104,data3: 1104,data4: 1104,data5: 1104,data6: 1104,data7: 1104,data8: 1104,data9: 1104,data10: 1104
1105,data2: 1105,data3: 1105,data4: 1105,data5: 1105,data6: 1105,data7: 1105,data8: 1105,data9: 1105,data10: 1105
1106,data2: 1106,data3: 1106,data4: 1106,data5: 1106,data6: 1106,data7: 1106,data8: 1106,data9: 1106,data10: 1106
1107,data2: 1107,data3: 1107,data4: 1107,data5: 1107,data6: 1107,data7: 1107,data8: 1107,data9: 1107,data10: 1107
1108,data2: 1108,data3: 1108,data4: 1108,data5: 1108,data6: 1108,data7: 1108,data8: 1108,data9: 1108,data10: 1108
1109,data2: 1109,data3: 1109,data4: 1109,data5: 1109,data6: 1109,data7: 1109,data8: 1109,data9: 1109,data10: 1109
1110,data2: 1110,data3: 1110,data4: 1110,data5: 1110,data6: 1110,data7: 1110,data8: 1110,data9: 1110,data10: 1110
1111,data2: 1111,data3: 1111,data4: 1111,data5: 1111,data6: 1111,data7: 1111,data8: 1111,data9: 1111,data10: 1111
1112,data2: 1112,data3: 1112,data4: 1112,data5: 1112,data6: 1112,data7: 1112,data8: 1112,data9: 1112,data10: 1112
1113,data2: 1113,data3: 1113,data4: 1113,data5: 1113,data6: 1113,data7: 1113,data8: 1113,data9: 1113,data10: 1113
1114,data2: 1114,data3: 1114,data4: 1114,data5: 1114,data6: 1114,data7: 1114,data8: 1114,data9: 1114,data10: 1114
1115,data2: 1115,data3: 1115,data4: 1115,data5: 1115,data6: 1115,data7: 1115,data8: 1115,data9: 1115,data10: 1115
1116,data2: 1116,data3: 1116,data4: 1116,data5: 1116,data6: 1116,data7: 1116,data8: 1116,data9: 1116,data10: 1116
1117,data2: 1117,data3: 1117,data4: 1117,data5: 1117,data6: 1117,data7: 1117,data8: 1117,data9: 1117,data10: 1117
1118,data2: 1118,data3: 1118,data4: 1118,data5: 1118,data6: 1118,data7: 1118,data8: 1118,data9: 1118,data10: 1118
1119,data2: 1119,data3: 1119,data4: 1119,data5: 1119,data6: 1119,data7: 1119,data8: 1119,data9: 1119,data10: 1119
1120,data2: 1120,data3: 1120,data4: 1120,data5: 1120,data6: 1120,data7: 1120,data8: 1120,data9: 1120,data10: 1120
1121,data2: 1121,data3: 1121,data4: 1121,data5: 1121,data6: 1121,data7: 1121,data8: 1121,data9: 1121,data10: 1121
1122,data2: 1122,data3: 1122,data4: 1122,data5: 1122,data6: 1122,data7: 1122,data8: 1122,data9: 1122,data10: 1122
1123,data2: 1123,data3: 1123,data4: 1123,data5: 1123,data6: 1123,data7: 1123,data8: 1123,data9: 1123,data10: 1123
1124,data2: 1124,data3: 1124,data4: 1124,data5: 1124,data6: 1124,data7: 1124,data8: 1124,data9: 1124,data10: 1124
1125,data2: 1125,data3: 1125,data4: 1125,data5: 1125,data6: 1125,data7: 1125,data8: 1125,data9: 1125,data10: 1125
1126,data2: 1126,data3: 1126,data4: 1126,data5: 1126,data6: 1126,data7: 1126,data8: 1126,data9: 1126,data10: 1126
1127,data2: 1127,data3: 1127,data4: 1127,data5: 1127,data6: 1127,data7: 1127,data8: 1127,data9: 1127,data10: 1127
1128,data2: 1128,data3: 1128,data4: 1128,data5: 1128,data6: 1128,data7: 1128,data8: 1128,data9: 1128,data10: 1128
1129,data2: 1129,data3: 1129,data4: 1129,data5: 1129,data6: 1129,data7: 1129,data8: 1129,data9: 1129,data10: 1129
1130,data2: 1130,data3: 1130,data4: 1130,data5: 1130,data6: 1130,data7: 1130,data8: 1130,data9: 1130,data10: 1130
1131,data2: 1131,data3: 1131,data4: 1131,data5: 1131,data6: 1131,data7: 1131,data8: 1131,data9: 1131,data10: 1131
1132,data2: 1132,data3: 1132,data4: 1132,data5: 1132,data6: 1132,data7: 1132,data8: 1132,data9: 1132,data10: 1132
1133,data2: 1133,data3: 1133,data4: 1133,data5: 1133,data6: 1133,data7: 1133,data8: 1133,data9: 1133,data10: 1133
1134,data2: 1134,data3: 1134,data4: 1134,data5: 1134,data6: 1134,data7: 1134,data8: 1134,data9: 1134,data10: 1134
1135,data2: 1135,data3: 1135,data4: 1135,data5: 1135,data6: 1135,data7: 1135,data8: 1135,data9: 1135,data10: 1135
1136,data2: 1136,data3: 1136,data4: 1136,data5: 1136,data6: 1136,data7: 1136,data8: 1136,data9: 1136,data10: 1136
1137,data2: 1137,data3: 1137,data4: 1137,data5: 1137,data6: 1137,data7: 1137,data8: 1137,data9: 1137,data10: 1137
1138,data2: 1138,data3: 1138,data4: 1138,data5: 1138,data6: 1138,data7: 1138,data8: 1138,data9: 1138,data10: 1138
1139,data2: 1139,data3: 1139,data4: 1139,data5: 1139,data6: 1139,data7: 1139,data8: 1139,data9: 1139,data10: 1139
1140,data2: 1140,data3: 1140,data4: 1140,data5: 1140,data6: 1140,data7: 1140,data8: 1140,data9: 1140,data10: 1140
1141,data2: 1141,data3: 1141,data4: 1141,data5: 1141,data6: 1141,data7: 1141,data8: 1141,data9: 1141,data10: 1141
1142,data2: 1142,data3: 1142,data4: 1142,data5: 1142,data6: 1142,data7: 1142,data8: 1142,data9: 1142,data10: 1142
1143,data2: 1143,data3: 1143,data4: 1143,data5: 1143,data6: 1143,data7: 1143,data8: 1143,data9: 1143,data10: 1143
1144,data2: 1144,data3: 1144,data4: 1144,data5: 1144,data6: 1144,data7: 1144,data8: 1144,data9: 1144,data10: 1144
1145,data2: 1145,data3: 1145,data4: 1145,data5: 1145,data6: 1145,data7: 1145,data8: 1145,data9: 1145,data10: 1145
1146,data2: 1146,data3: 1146,data4: 1146,data5: 1146,data6: 1146,data7: 1146,data8: 1146,data9: 1146,data10: 1146
1147,data2: 1147,data3: 1147,data4: 1147,data5: 1147,data6: 1147,data7: 1147,data8: 1147,data9: 1147,data10: 1147
1148,data2: 1148,data3: 1148,data4: 1148,data5: 1148,data6: 1148,data7: 1148,data8: 1148,data9: 1148,data10: 1148
1149,data2: 1149,data3: 1149,data4: 1149,data5: 1149,data6: 1149,data7: 1149,data8: 1149,data9: 1149,data10: 1149
1150,data2: 1150,data3: 1150,data4: 1150,data5: 1150,data6: 1150,data7: 1150,data8: 1150,data9: 1150,data10: 1150
1151,data2: 1151,data3: 1151,data4: 1151,data5: 1151,data6: 1151,data7: 1151,data8: 1151,data9: 1151,data10: 1151
1152,data2: 1152,data3: 1152,data4: 1152,data5: 1152,data6: 1152,data7: 1152,data8: 1152,data9: 1152,data10: 1152
1153,data2: 1153,data3: 1153,data4: 1153,data5: 1153,data6: 1153,data7: 1153,data8: 1153,data9: 1153,data10: 1153
1154,data2: 1154,data3: 1154,data4: 1154,data5: 1154,data6: 1154,data7: 1154,data8: 1154,data9: 1154,data10: 1154
1155,data2: 1155,data3: 1155,data4: 1155,data5: 1155,data6: 1155,data7: 1155,data8: 1155,data9: 1155,data10: 1155
1156,data2: 1156,data3: 1156,data4: 1156,data5: 1156,data6: 1156,data7: 1156,data8: 1156,data9: 1156,data10: 1156
1157,data2: 1157,data3: 1157,data4: 1157,data5: 1157,data6: 1157,data7: 1157,data8: 1157,data9: 1157,data10: 1157
1158,data2: 1158,data3: 1158,data4: 1158,data5: 1158,data6: 1158,data7: 1158,data8: 1158,data9: 1158,data10: 1158
1159,data2: 1159,data3: 1159,data4: 1159,data5: 1159,data6: 1159,data7: 1159,data8: 1159,data9: 1159,data10: 1159
1160,data2: 1160,data3: 1160,data4: 1160,data5: 1160,data6: 1160,data7: 1160,data8: 1160,data9: 1160,data10: 1160
1161,data2: 1161,data3: 1161,data4: 1161,data5: 1161,data6: 1161,data7: 1161,data8: 1161,data9: 1161,data10: 1161
1162,data2: 1162,data3: 1162,data4: 1162,data5: 1162,data6: 1162,data7: 1162,data8: 1162,data9: 1162,data10: 1162
1163,data2: 1163,data3: 1163,data4: 1163,data5: 1163,data6: 1163,data7: 1163,data8: 1163,data9: 1163,data10: 1163
1164,data2: 1164,data3: 1164,data4: 1164,data5: 1164,data6: 1164,data7: 1164,data8: 1164,data9: 1164,data10: 1164
1165,data2: 1165,data3: 1165,data4: 1165,data5: 1165,data6: 1165,data7: 1165,data8: 1165,data9: 1165,data10: 1165
1166,data2: 1166,data3: 1166,data4: 1166,data5: 1166,data6: 1166,data7: 1166,data8: 1166,data9: 1166,data10: 1166
1167,data2: 1167,data3: 1167,data4: 1167,data5: 1167,data6: 1167,data7: 1167,data8: 1167,data9: 1167,data10: 1167
1168,data2: 1168,data3: 1168,data4: 1168,data5: 1168,data6: 1168,data7: 1168,data8: 1168,data9: 1168,data10: 1168
1169,data2: 1169,data3: 1169,data4: 1169,data5: 1169,data6: 1169,data7: 1169,data8: 1169,data9: 1169,data10: 1169
1170,data2: 1170,data3: 1170,data4: 1170,data5: 1170,data6: 1170,data7: 1170,data8: 1170,data9: 1170,data10: 1170
1171,data2: 1171,data3: 1171,data4: 1171,data5: 1171,data6: 1171,data7: 1171,data8: 1171,data9: 1171,data10: 1171
1172,data2: 1172,data3: 1172,data4: 1172,data5: 1172,data6: 1172,data7: 1172,data8: 1172,data9: 1172,data10: 1172
1173,data2: 1173,data3: 1173,data4: 1173,data5: 1173,data6: 1173,data7: 1173,data8: 1173,data9: 1173,data10: 1173
1174,data2: 1174,data3: 1174,data4: 1174,data5: 1174,data6: 1174,data7: 1174,data8: 1174,data9: 1174,data10: 1174
1175,data2: 1175,data3: 1175,data4: 1175,data5: 1175,data6: 1175,data7: 1175,data8: 1175,data9: 1175,data10: 1175
1176,data2: 1176,data3: 1176,data4: 1176,data5: 1176,data6: 1176,data7: 1176,data8: 1176,data9: 1176,data10: 1176
1177,data2: 1177,data3: 1177,data4: 1177,data5: 1177,data6: 1177,data7: 1177,data8: 1177,data9: 1177,data10: 1177
1178,data2: 1178,data3: 1178,data4: 1178,data5: 1178,data6: 1178,data7: 1178,data8: 1178,data9: 1178,data10: 1178
1179,data2: 1179,data3: 1179,data4: 1179,data5: 1179,data6: 1179,data7: 1179,data8: 1179,data9: 1179,data10: 1179
1180,data2: 1180,data3: 1180,data4: 1180,data5: 1180,data6: 1180,data7: 1180,data8: 1180,data9: 1180,data10: 1180
1181,data2: 1181,data3: 1181,data4: 1181,data5: 1181,data6: 1181,data7: 1181,data8: 1181,data9: 1181,data10: 1181
1182,data2: 1182,data3: 1182,data4: 1182,data5: 1182,data6: 1182,data7: 1182,data8: 1182,data9: 1182,data10: 1182
1183,data2: 1183,data3: 1183,data4: 1183,data5: 1183,data6: 1183,data7: 1183,data8: 1183,data9: 1183,data10: 1183
1184,data2: 1184,data3: 1184,data4: 1184,data5: 1184,data6: 1184,data7: 1184,data8: 1184,data9: 1184,data10: 1184
1185,data2: 1185,data3: 1185,data4: 1185,data5: 1185,data6: 1185,data7: 1185,data8: 1185,data9: 1185,data10: 1185
1186,data2: 1186,data3: 1186,data4: 1186,data5: 1186,data6: 1186,data7: 1186,data8: 1186,data9: 1186,data10: 1186
1187,data2: 1187,data3: 1187,data4: 1187,data5: 1187,data6: 1187,data7: 1187,data8: 1187,data9: 1187,data10: 1187
1188,data2: 1188,data3: 1188,data4: 1188,data5: 1188,data6: 1188,data7: 1188,data8: 1188,data9: 1188,data10: 1188
1189,data2: 1189,data3: 1189,data4: 1189,data5: 1189,data6: 1189,data7: 1189,data8: 1189,data9: 1189,data10: 1189
1190,data2: 1190,data3: 1190,data4: 1190,data5: 1190,data6: 1190,data7: 1190,data8: 1190,data9: 1190,data10: 1190
1191,data2: 1191,data3: 1191,data4: 1191,data5: 1191,data6: 1191,data7: 1191,data8: 1191,data9: 1191,data10: 1191
1192,data2: 1192,data3: 1192,data4: 1192,data5: 1192,data6: 1192,data7: 1192,data8: 1192,data9: 1192,data10: 1192
1193,data2: 1193,data3: 1193,data4: 1193,data5: 1193,data6: 1193,data7: 1193,data8: 1193,data9: 1193,data10: 1193
1194,data2: 1194,data3: 1194,data4: 1194,data5: 1194,data6: 1194,data7: 1194,data8: 1194,data9: 1194,data10: 1194
1195,data2: 1195,data3: 1195,data4: 1195,data5: 1195,data6: 1195,data7: 1195,data8: 1195,data9: 1195,data10: 1195
1196,data2: 1196,data3: 1196,data4: 1196,data5: 1196,data6: 1196,data7: 1196,data8: 1196,data9: 1196,data10: 1196
1197,data2: 1197,data3: 1197,data4: 1197,data5: 1197,data6: 1197,data7: 1197,data8: 1197,data9: 1197,data10: 1197
1198,data2: 1198,data3: 1198,data4: 1198,data5: 1198,data6: 1198,data7: 1198,data8: 1198,data9: 1198,data10: 1198
1199,data2: 1199,data3: 1199,data4: 1199,data5: 1199,data6: 1199,data7: 1199,data8: 1199,data9: 1199,data10: 1199
1200,data2: 1200,data3: 1200,data4: 1200,data5: 1200,data6: 1200,data7: 1200,data8: 1200,data9: 1200,data10: 1200
233,2334,malformed data!!!!
1201,data2: 1201,data3: 1201,data4: 1201,data5: 1201,data6: 1201,data7: 1201,data8: 1201,data9: 1201,data10: 1201
1202,data2: 1202,data3: 1202,data4: 1202,data5: 1202,data6: 1202,data7: 1202,data8: 1202,data9: 1202,data10: 1202
1203,data2: 1203,data3: 1203,data4: 1203,data5: 1203,data6: 1203,data7: 1203,data8: 1203,data9: 1203,data10: 1203
1204,data2: 1204,data3: 1204,data4: 1204,data5: 1204,data6: 1204,data7: 1204,data8: 1204,data9: 1204,data10: 1204
1205,data2: 1205,data3: 1205,data4: 1205,data5: 1205,data6: 1205,data7: 1205,data8: 1205,data9: 1205,data10: 1205
1206,data2: 1206,data3: 1206,data4: 1206,data5: 1206,data6: 1206,data7: 1206,data8: 1206,data9: 1206,data10: 1206
1207,data2: 1207,data3: 1207,data4: 1207,data5: 1207,data6: 1207,data7: 1207,data8: 1207,data9: 1207,data10: 1207
1208,data2: 1208,data3: 1208,data4: 1208,data5: 1208,data6: 1208,data7: 1208,data8: 1208,data9: 1208,data10: 1208
1209,data2: 1209,data3: 1209,data4: 1209,data5: 1209,data6: 1209,data7: 1209,data8: 1209,data9: 1209,data10: 1209
1210,data2: 1210,data3: 1210,data4: 1210,data5: 1210,data6: 1210,data7: 1210,data8: 1210,data9: 1210,data10: 1210
1211,data2: 1211,data3: 1211,data4: 1211,data5: 1211,data6: 1211,data7: 1211,data8: 1211,data9: 1211,data10: 1211
1212,data2: 1212,data3: 1212,data4: 1212,data5: 1212,data6: 1212,data7: 1212,data8: 1212,data9: 1212,data10: 1212
1213,data2: 1213,data3: 1213,data4: 1213,data5: 1213,data6: 1213,data7: 1213,data8: 1213,data9: 1213,data10: 1213
1214,data2: 1214,data3: 1214,data4: 1214,data5: 1214,data6: 1214,data7: 1214,data8: 1214,data9: 1214,data10: 1214
1215,data2: 1215,data3: 1215,data4: 1215,data5: 1215,data6: 1215,data7: 1215,data8: 1215,data9: 1215,data10: 1215
1216,data2: 1216,data3: 1216,data4: 1216,data5: 1216,data6: 1216,data7: 1216,data8: 1216,data9: 1216,data10: 1216
1217,data2: 1217,data3: 1217,data4: 1217,data5: 1217,data6: 1217,data7: 1217,data8: 1217,data9: 1217,data10: 1217
1218,data2: 1218,data3: 1218,data4: 1218,data5: 1218,data6: 1218,data7: 1218,data8: 1218,data9: 1218,data10: 1218
1219,data2: 1219,data3: 1219,data4: 1219,data5: 1219,data6: 1219,data7: 1219,data8: 1219,data9: 1219,data10: 1219
1220,data2: 1220,data3: 1220,data4: 1220,data5: 1220,data6: 1220,data7: 1220,data8: 1220,data9: 1220,data10: 1220
1221,data2: 1221,data3: 1221,data4: 1221,data5: 1221,data6: 1221,data7: 1221,data8: 1221,data9: 1221,data10: 1221
1222,data2: 1222,data3: 1222,data4: 1222,data5: 1222,data6: 1222,data7: 1222,data8: 1222,data9: 1222,data10: 1222
1223,data2: 1223,data3: 1223,data4: 1223,data5: 1223,data6: 1223,data7: 1223,data8: 1223,data9: 1223,data10: 1223
1224,data2: 1224,data3: 1224,data4: 1224,data5: 1224,data6: 1224,data7: 1224,data8: 1224,data9: 1224,data10: 1224
1225,data2: 1225,data3: 1225,data4: 1225,data5: 1225,data6: 1225,data7: 1225,data8: 1225,data9: 1225,data10: 1225
1226,data2: 1226,data3: 1226,data4: 1226,data5: 1226,data6: 1226,data7: 1226,data8: 1226,data9: 1226,data10: 1226
1227,data2: 1227,data3: 1227,data4: 1227,data5: 1227,data6: 1227,data7: 1227,data8: 1227,data9: 1227,data10: 1227
1228,data2: 1228,data3: 1228,data4: 1228,data5: 1228,data6: 1228,data7: 1228,data8: 1228,data9: 1228,data10: 1228
1229,data2: 1229,data3: 1229,data4: 1229,data5: 1229,data6: 1229,data7: 1229,data8: 1229,data9: 1229,data10: 1229
1230,data2: 1230,data3: 1230,data4: 1230,data5: 1230,data6: 1230,data7: 1230,data8: 1230,data9: 1230,data10: 1230
1231,data2: 1231,data3: 1231,data4: 1231,data5: 1231,data6: 1231,data7: 1231,data8: 1231,data9: 1231,data10: 1231
1232,data2: 1232,data3: 1232,data4: 1232,data5: 1232,data6: 1232,data7: 1232,data8: 1232,data9: 1232,data10: 1232
1233,data2: 1233,data3: 1233,data4: 1233,data5: 1233,data6: 1233,data7: 1233,data8: 1233,data9: 1233,data10: 1233
1234,data2: 1234,data3: 1234,data4: 1234,data5: 1234,data6: 1234,data7: 1234,data8: 1234,data9: 1234,data10: 1234
1235,data2: 1235,data3: 1235,data4: 1235,data5: 1235,data6: 1235,data7: 1235,data8: 1235,data9: 1235,data10: 1235
1236,data2: 1236,data3: 1236,data4: 1236,data5: 1236,data6: 1236,data7: 1236,data8: 1236,data9: 1236,data10: 1236
1237,data2: 1237,data3: 1237,data4: 1237,data5: 1237,data6: 1237,data7: 1237,data8: 1237,data9: 1237,data10: 1237
1238,data2: 1238,data3: 1238,data4: 1238,data5: 1238,data6: 1238,data7: 1238,data8: 1238,data9: 1238,data10: 1238
1239,data2: 1239,data3: 1239,data4: 1239,data5: 1239,data6: 1239,data7: 1239,data8: 1239,data9: 1239,data10: 1239
1240,data2: 1240,data3: 1240,data4: 1240,data5: 1240,data6: 1240,data7: 1240,data8: 1240,data9: 1240,data10: 1240
1241,data2: 1241,data3: 1241,data4: 1241,data5: 1241,data6: 1241,data7: 1241,data8: 1241,data9: 1241,data10: 1241
1242,data2: 1242,data3: 1242,data4: 1242,data5: 1242,data6: 1242,data7: 1242,data8: 1242,data9: 1242,data10: 1242
1243,data2: 1243,data3: 1243,data4: 1243,data5: 1243,data6: 1243,data7: 1243,data8: 1243,data9: 1243,data10: 1243
1244,data2: 1244,data3: 1244,data4: 1244,data5: 1244,data6: 1244,data7: 1244,data8: 1244,data9: 1244,data10: 1244
1245,data2: 1245,data3: 1245,data4: 1245,data5: 1245,data6: 1245,data7: 1245,data8: 1245,data9: 1245,data10: 1245
1246,data2: 1246,data3: 1246,data4: 1246,data5: 1246,data6: 1246,data7: 1246,data8: 1246,data9: 1246,data10: 1246
1247,data2: 1247,data3: 1247,data4: 1247,data5: 1247,data6: 1247,data7: 1247,data8: 1247,data9: 1247,data10: 1247
1248,data2: 1248,data3: 1248,data4: 1248,data5: 1248,data6: 1248,data7: 1248,data8: 1248,data9: 1248,data10: 1248
1249,data2: 1249,data3: 1249,data4: 1249,data5: 1249,data6: 1249,data7: 1249,data8: 1249,data9: 1249,data10: 1249
1250,data2: 1250,data3: 1250,data4: 1250,data5: 1250,data6: 1250,data7: 1250,data8: 1250,data9: 1250,data10: 1250
1251,data2: 1251,data3: 1251,data4: 1251,data5: 1251,data6: 1251,data7: 1251,data8: 1251,data9: 1251,data10: 1251
1252,data2: 1252,data3: 1252,data4: 1252,data5: 1252,data6: 1252,data7: 1252,data8: 1252,data9: 1252,data10: 1252
1253,data2: 1253,data3: 1253,data4: 1253,data5: 1253,data6: 1253,data7: 1253,data8: 1253,data9: 1253,data10: 1253
1254,data2: 1254,data3: 1254,data4: 1254,data5: 1254,data6: 1254,data7: 1254,data8: 1254,data9: 1254,data10: 1254
1255,data2: 1255,data3: 1255,data4: 1255,data5: 1255,data6: 1255,data7: 1255,data8: 1255,data9: 1255,data10: 1255
1256,data2: 1256,data3: 1256,data4: 1256,data5: 1256,data6: 1256,data7: 1256,data8: 1256,data9: 1256,data10: 1256
1257,data2: 1257,data3: 1257,data4: 1257,data5: 1257,data6: 1257,data7: 1257,data8: 1257,data9: 1257,data10: 1257
1258,data2: 1258,data3: 1258,data4: 1258,data5: 1258,data6: 1258,data7: 1258,data8: 1258,data9: 1258,data10: 1258
1259,data2: 1259,data3: 1259,data4: 1259,data5: 1259,data6: 1259,data7: 1259,data8: 1259,data9: 1259,data10: 1259
1260,data2: 1260,data3: 1260,data4: 1260,data5: 1260,data6: 1260,data7: 1260,data8: 1260,data9: 1260,data10: 1260
1261,data2: 1261,data3: 1261,data4: 1261,data5: 1261,data6: 1261,data7: 1261,data8: 1261,data9: 1261,data10: 1261
1262,data2: 1262,data3: 1262,data4: 1262,data5: 1262,data6: 1262,data7: 1262,data8: 1262,data9: 1262,data10: 1262
1263,data2: 1263,data3: 1263,data4: 1263,data5: 1263,data6: 1263,data7: 1263,data8: 1263,data9: 1263,data10: 1263
1264,data2: 1264,data3: 1264,data4: 1264,data5: 1264,data6: 1264,data7: 1264,data8: 1264,data9: 1264,data10: 1264
1265,data2: 1265,data3: 1265,data4: 1265,data5: 1265,data6: 1265,data7: 1265,data8: 1265,data9: 1265,data10: 1265
1266,data2: 1266,data3: 1266,data4: 1266,data5: 1266,data6: 1266,data7: 1266,data8: 1266,data9: 1266,data10: 1266
1267,data2: 1267,data3: 1267,data4: 1267,data5: 1267,data6: 1267,data7: 1267,data8: 1267,data9: 1267,data10: 1267
1268,data2: 1268,data3: 1268,data4: 1268,data5: 1268,data6: 1268,data7: 1268,data8: 1268,data9: 1268,data10: 1268
1269,data2: 1269,data3: 1269,data4: 1269,data5: 1269,data6: 1269,data7: 1269,data8: 1269,data9: 1269,data10: 1269
1270,data2: 1270,data3: 1270,data4: 1270,data5: 1270,data6: 1270,data7: 1270,data8: 1270,data9: 1270,data10: 1270
1271,data2: 1271,data3: 1271,data4: 1271,data5: 1271,data6: 1271,data7: 1271,data8: 1271,data9: 1271,data10: 1271
1272,data2: 1272,data3: 1272,data4: 1272,data5: 1272,data6: 1272,data7: 1272,data8: 1272,data9: 1272,data10: 1272
1273,data2: 1273,data3: 1273,data4: 1273,data5: 1273,data6: 1273,data7: 1273,data8: 1273,data9: 1273,data10: 1273
1274,data2: 1274,data3: 1274,data4: 1274,data5: 1274,data6: 1274,data7: 1274,data8: 1274,data9: 1274,data10: 1274
1275,data2: 1275,data3: 1275,data4: 1275,data5: 1275,data6: 1275,data7: 1275,data8: 1275,data9: 1275,data10: 1275
1276,data2: 1276,data3: 1276,data4: 1276,data5: 1276,data6: 1276,data7: 1276,data8: 1276,data9: 1276,data10: 1276
1277,data2: 1277,data3: 1277,data4: 1277,data5: 1277,data6: 1277,data7: 1277,data8: 1277,data9: 1277,data10: 1277
1278,data2: 1278,data3: 1278,data4: 1278,data5: 1278,data6: 1278,data7: 1278,data8: 1278,data9: 1278,data10: 1278
1279,data2: 1279,data3: 1279,data4: 1279,data5: 1279,data6: 1279,data7: 1279,data8: 1279,data9: 1279,data10: 1279
1280,data2: 1280,data3: 1280,data4: 1280,data5: 1280,data6: 1280,data7: 1280,data8: 1280,data9: 1280,data10: 1280
1281,data2: 1281,data3: 1281,data4: 1281,data5: 1281,data6: 1281,data7: 1281,data8: 1281,data9: 1281,data10: 1281
1282,data2: 1282,data3: 1282,data4: 1282,data5: 1282,data6: 1282,data7: 1282,data8: 1282,data9: 1282,data10: 1282
1283,data2: 1283,data3: 1283,data4: 1283,data5: 1283,data6: 1283,data7: 1283,data8: 1283,data9: 1283,data10: 1283
1284,data2: 1284,data3: 1284,data4: 1284,data5: 1284,data6: 1284,data7: 1284,data8: 1284,data9: 1284,data10: 1284
1285,data2: 1285,data3: 1285,data4: 1285,data5: 1285,data6: 1285,data7: 1285,data8: 1285,data9: 1285,data10: 1285
1286,data2: 1286,data3: 1286,data4: 1286,data5: 1286,data6: 1286,data7: 1286,data8: 1286,data9: 1286,data10: 1286
1287,data2: 1287,data3: 1287,data4: 1287,data5: 1287,data6: 1287,data7: 1287,data8: 1287,data9: 1287,data10: 1287
1288,data2: 1288,data3: 1288,data4: 1288,data5: 1288,data6: 1288,data7: 1288,data8: 1288,data9: 1288,data10: 1288
1289,data2: 1289,data3: 1289,data4: 1289,data5: 1289,data6: 1289,data7: 1289,data8: 1289,data9: 1289,data10: 1289
1290,data2: 1290,data3: 1290,data4: 1290,data5: 1290,data6: 1290,data7: 1290,data8: 1290,data9: 1290,data10: 1290
1291,data2: 1291,data3: 1291,data4: 1291,data5: 1291,data6: 1291,data7: 1291,data8: 1291,data9: 1291,data10: 1291
1292,data2: 1292,data3: 1292,data4: 1292,data5: 1292,data6: 1292,data7: 1292,data8: 1292,data9: 1292,data10: 1292
1293,data2: 1293,data3: 1293,data4: 1293,data5: 1293,data6: 1293,data7: 1293,data8: 1293,data9: 1293,data10: 1293
1294,data2: 1294,data3: 1294,data4: 1294,data5: 1294,data6: 1294,data7: 1294,data8: 1294,data9: 1294,data10: 1294
1295,data2: 1295,data3: 1295,data4: 1295,data5: 1295,data6: 1295,data7: 1295,data8: 1295,data9: 1295,data10: 1295
1296,data2: 1296,data3: 1296,data4: 1296,data5: 1296,data6: 1296,data7: 1296,data8: 1296,data9: 1296,data10: 1296
1297,data2: 1297,data3: 1297,data4: 1297,data5: 1297,data6: 1297,data7: 1297,data8: 1297,data9: 1297,data10: 1297
1298,data2: 1298,data3: 1298,data4: 1298,data5: 1298,data6: 1298,data7: 1298,data8: 1298,data9: 1298,data10: 1298
1299,data2: 1299,data3: 1299,data4: 1299,data5: 1299,data6: 1299,data7: 1299,data8: 1299,data9: 1299,data10: 1299
1300,data2: 1300,data3: 1300,data4: 1300,data5: 1300,data6: 1300,data7: 1300,data8: 1300,data9: 1300,data10: 1300
233,2334,malformed data!!!!
1301,data2: 1301,data3: 1301,data4: 1301,data5: 1301,data6: 1301,data7: 1301,data8: 1301,data9: 1301,data10: 1301
1302,data2: 1302,data3: 1302,data4: 1302,data5: 1302,data6: 1302,data7: 1302,data8: 1302,data9: 1302,data10: 1302
1303,data2: 1303,data3: 1303,data4: 1303,data5: 1303,data6: 1303,data7: 1303,data8: 1303,data9: 1303,data10: 1303
1304,data2: 1304,data3: 1304,data4: 1304,data5: 1304,data6: 1304,data7: 1304,data8: 1304,data9: 1304,data10: 1304
1305,data2: 1305,data3: 1305,data4: 1305,data5: 1305,data6: 1305,data7: 1305,data8: 1305,data9: 1305,data10: 1305
1306,data2: 1306,data3: 1306,data4: 1306,data5: 1306,data6: 1306,data7: 1306,data8: 1306,data9: 1306,data10: 1306
1307,data2: 1307,data3: 1307,data4: 1307,data5: 1307,data6: 1307,data7: 1307,data8: 1307,data9: 1307,data10: 1307
1308,data2: 1308,data3: 1308,data4: 1308,data5: 1308,data6: 1308,data7: 1308,data8: 1308,data9: 1308,data10: 1308
1309,data2: 1309,data3: 1309,data4: 1309,data5: 1309,data6: 1309,data7: 1309,data8: 1309,data9: 1309,data10: 1309
1310,data2: 1310,data3: 1310,data4: 1310,data5: 1310,data6: 1310,data7: 1310,data8: 1310,data9: 1310,data10: 1310
1311,data2: 1311,data3: 1311,data4: 1311,data5: 1311,data6: 1311,data7: 1311,data8: 1311,data9: 1311,data10: 1311
1312,data2: 1312,data3: 1312,data4: 1312,data5: 1312,data6: 1312,data7: 1312,data8: 1312,data9: 1312,data10: 1312
